"source.ip: Descending","dest.ip: Descending","dest.port: Descending",Count
"172.30.20.40","172.0.5.8",53,30
"172.30.20.40","172.30.20.43",8080,140
"172.30.20.40","172.30.30.70",50747,11
"172.30.20.40","172.30.30.70",51820,4
"172.30.20.40","172.30.30.70",51929,4
"172.30.20.40","172.30.30.70",51932,9
"172.30.20.40","172.30.30.70",52852,15
"172.30.20.40","172.30.30.70",52854,10
"172.30.20.40","91.189.89.198",123,33
"172.30.20.40","91.189.89.199",123,29
"172.30.20.40","91.189.91.157",123,28
"172.30.20.40","172.0.1.195",50073,5
"172.30.20.40","172.0.1.195",50089,6
"172.30.20.40","172.0.1.195",50213,4
"172.30.20.40","172.0.1.195",50697,5
"172.30.20.40","172.0.1.93",62026,5
"172.30.20.40","172.0.1.93",62044,5
"172.30.20.40","172.0.2.27",64581,10
"172.30.20.40","172.20.0.30",38666,5
"172.30.30.191","10.30.0.55",52048,179
"172.30.30.191","10.30.0.55",52049,617
"172.30.30.191","10.30.0.55",55015,282
"172.30.30.191","10.30.0.55",62409,378
"172.30.30.191","10.30.0.55",63480,144
"172.30.30.191","10.30.0.55",63481,203
"172.30.30.191","172.0.5.4",135,221
"172.30.30.191","172.0.5.4",389,650
"172.30.30.191","172.0.5.4",445,133
"172.30.30.191","172.0.5.4",49157,434
"172.30.30.191","172.0.5.4",88,83
"172.30.30.191","172.17.77.220",8027,1041
"172.30.30.191","172.17.77.220",8383,265
"172.30.30.191","172.0.5.8",123,50
"172.30.30.191","172.0.5.8",135,15
"172.30.30.191","172.0.5.8",389,266
"172.30.30.191","172.0.5.8",445,4
"172.30.30.191","172.0.5.8",49165,15
"172.30.30.191","172.0.5.8",53,502
"172.30.30.191","224.0.0.252",5355,268
"172.30.30.191","172.30.255.255",137,121
"172.30.30.191","172.30.255.255",138,67
"172.30.30.191","172.30.30.152",445,118
"172.30.30.191","172.17.77.211",13000,68
"172.30.30.191","172.30.30.39",13000,45
"172.30.30.191","172.30.30.34",139,48
"172.30.30.191","192.168.80.159",60402,6
"172.30.30.191","192.168.80.159",60466,6
"172.30.30.191","192.168.80.159",60697,6
"172.30.30.191","192.168.80.159",60893,5
"172.30.30.191","192.168.80.159",61152,5
"172.30.30.191","172.30.30.17",137,5
"172.30.30.191","172.30.30.17",139,17
"172.30.30.191","172.0.5.6",389,15
"172.30.30.191","255.255.255.255",15000,10
"172.30.30.191","172.30.30.26",137,5
"172.30.30.191","172.30.30.26",139,4
"172.30.30.191","172.30.30.203",139,6
"172.30.30.191","239.255.255.250",3702,5
"172.30.30.191","192.168.51.70",64674,4
"172.30.30.188","172.30.30.55",443,2345
"172.30.30.188","172.30.30.55",80,1847
"172.30.30.188","172.30.30.55",902,16
"172.30.30.188","172.30.255.255",137,122
"172.30.30.188","172.30.255.255",138,57
"172.30.30.188","224.0.0.252",5355,131
"172.30.30.188","255.255.255.255",15000,10
"172.30.30.189","172.17.77.220",8027,1020
"172.30.30.189","172.17.77.220",8383,251
"172.30.30.189","172.0.5.4",135,152
"172.30.30.189","172.0.5.4",3268,100
"172.30.30.189","172.0.5.4",389,172
"172.30.30.189","172.0.5.4",49157,104
"172.30.30.189","172.0.5.4",53,137
"172.30.30.189","172.0.5.4",88,44
"172.30.30.189","172.0.5.8",123,49
"172.30.30.189","172.0.5.8",53,511
"172.30.30.189","172.0.5.6",135,16
"172.30.30.189","172.0.5.6",389,341
"172.30.30.189","172.0.5.6",445,76
"172.30.30.189","172.0.5.6",49156,32
"172.30.30.189","224.0.0.252",5355,259
"172.30.30.189","172.30.255.255",137,131
"172.30.30.189","172.30.255.255",138,88
"172.30.30.189","172.17.77.211",13000,94
"172.30.30.189","172.17.77.222",514,26
"172.30.30.189","131.253.61.100",443,21
"172.30.30.189","131.253.61.100",80,4
"172.30.30.189","131.253.61.68",443,21
"172.30.30.189","131.253.61.68",80,4
"172.30.30.189","131.253.61.98",443,21
"172.30.30.189","131.253.61.98",80,4
"172.30.30.189","131.253.61.80",443,20
"172.30.30.189","131.253.61.80",80,4
"172.30.30.189","131.253.61.66",443,19
"172.30.30.189","131.253.61.66",80,4
"172.30.30.189","131.253.61.82",443,19
"172.30.30.189","131.253.61.82",80,4
"172.30.30.189","172.0.5.1",49157,12
"172.30.30.189","40.77.226.249",443,10
"172.30.30.189","255.255.255.255",15000,8
"172.30.10.1","172.30.30.130",2055,865
"172.30.30.160","172.30.30.55",443,3197
"172.30.30.160","172.30.30.42",443,136
"172.30.30.160","172.30.255.255",137,4
"172.30.30.160","172.30.255.255",138,88
"172.30.30.160","172.30.30.170",443,77
"172.30.30.160","255.255.255.255",15000,5
"172.30.30.160","224.0.0.252",5355,4
"172.30.20.25","172.30.20.100",514,884
"172.30.20.25","172.30.20.152",1521,818
"172.30.20.25","172.0.3.140",54924,6
"172.30.20.25","172.0.3.140",55074,11
"172.30.20.25","172.0.3.140",55101,6
"172.30.20.25","172.0.3.140",55102,6
"172.30.20.25","172.0.3.140",55103,6
"172.30.20.25","172.0.3.140",55104,6
"172.30.20.25","172.0.3.140",55105,6
"172.30.20.25","172.0.3.140",55155,5
"172.30.20.25","172.0.3.140",55375,10
"172.30.20.25","172.0.3.140",55393,4
"172.30.20.25","172.0.3.140",55496,4
"172.30.20.25","172.0.3.140",55501,4
"172.30.20.25","172.0.3.140",55503,4
"172.30.20.25","172.0.3.140",55504,4
"172.30.20.25","172.0.3.140",55505,10
"172.30.20.25","172.0.3.140",55506,4
"172.30.20.25","172.0.3.140",55522,4
"172.30.20.25","172.0.3.140",55567,10
"172.30.20.25","172.0.3.140",55573,4
"172.30.20.25","172.0.3.140",55590,4
"172.30.20.25","172.0.3.140",55603,4
"172.30.20.25","172.0.3.140",55750,4
"172.30.20.25","172.0.3.140",55756,4
"172.30.20.25","172.0.3.140",55757,4
"172.30.20.25","172.0.3.140",55758,4
"172.30.20.25","172.0.3.140",55759,4
"172.30.20.25","172.0.3.140",55760,4
"172.30.20.25","172.0.3.140",55963,4
"172.30.20.25","172.0.3.140",55969,4
"172.30.20.25","172.0.3.140",55970,4
"172.30.20.25","172.0.3.140",55971,4
"172.30.20.25","172.0.3.140",55972,4
"172.30.20.25","172.0.3.140",55973,4
"172.30.20.25","172.30.30.87",9091,124
"172.30.20.25","172.20.0.29",3306,117
"172.30.20.25","10.127.254.2",8080,31
"172.30.20.25","10.127.254.7",8080,31
"172.30.20.25","10.127.254.8",8080,29
"172.30.20.25","10.128.129.36",8080,29
"172.30.20.25","172.0.1.177",50276,5
"172.30.20.25","172.0.1.177",50282,5
"172.30.20.25","172.20.0.30",3306,9
"172.30.30.150","224.0.0.252",5355,1929
"172.30.30.150","172.30.255.255",137,379
"172.30.30.150","172.30.255.255",138,117
"172.30.30.150","172.30.30.191",137,4
"172.30.30.150","172.30.30.191",55191,4
"172.30.30.150","172.30.30.191",56748,4
"10.30.0.55","172.30.30.191",3389,1320
"10.30.0.55","172.30.30.55",902,10
"10.30.0.55","172.30.30.160",3389,5
"192.168.93.105","172.30.20.40",8080,2085
"172.30.30.152","172.30.30.191",50922,378
"172.30.30.152","172.30.30.191",50923,255
"172.30.30.152","172.30.30.191",50924,255
"172.30.30.152","172.30.30.191",50925,380
"172.30.30.152","172.30.30.190",61216,45
"172.30.30.152","172.30.30.190",61319,33
"172.30.30.152","172.30.30.190",61423,40
"172.30.30.152","172.30.30.190",61581,73
"172.30.30.152","172.30.30.190",61753,138
"172.30.30.152","172.30.30.190",62093,5
"172.30.30.152","172.30.30.190",62245,97
"172.30.30.152","172.30.30.190",62764,20
"172.30.30.152","172.30.30.190",62846,4
"172.30.30.152","172.30.255.255",137,23
"172.30.30.152","172.30.255.255",138,72
"172.30.30.152","224.0.0.252",5355,38
"172.30.30.152","255.255.255.255",15000,5
"172.30.30.121","172.30.255.255",137,647
"172.30.30.121","172.30.255.255",138,70
"172.30.30.121","172.30.30.200",5044,355
"172.30.30.121","224.0.0.252",5355,270
"172.30.30.121","172.30.30.191",1688,10
"172.30.30.121","255.255.255.255",15000,6
"172.0.1.103","172.30.20.40",8080,1753
"172.30.30.118","172.30.255.255",137,28
"172.30.30.118","172.30.255.255",138,87
"172.30.30.118","172.30.255.255",1947,811
"172.30.30.118","255.255.255.255",1947,813
"172.30.20.100","172.0.5.8",53,1396
"172.0.5.60","172.30.20.100",514,735
"172.0.5.60","172.30.20.40",5666,408
"172.30.30.200","10.127.253.6",59000,5
"172.30.30.200","10.127.253.6",59001,4
"172.30.30.200","10.127.253.6",59003,5
"172.30.30.200","10.127.253.6",59006,5
"172.30.30.200","10.127.253.6",59024,4
"172.30.30.200","10.127.253.6",59025,5
"172.30.30.200","10.127.253.6",59026,6
"172.30.30.200","10.127.253.6",59029,4
"172.30.30.200","10.127.253.6",59031,5
"172.30.30.200","10.127.253.6",59033,4
"172.30.30.200","10.127.253.6",59034,5
"172.30.30.200","10.127.253.6",59039,24
"172.30.30.200","10.127.253.6",59042,6
"172.30.30.200","10.127.253.6",59044,4
"172.30.30.200","10.127.253.6",59047,6
"172.30.30.200","10.127.253.6",59049,5
"172.30.30.200","10.127.253.6",59050,5
"172.30.30.200","172.30.30.121",46191,6
"172.30.40.116","172.30.255.255",137,910
"172.30.40.116","172.30.255.255",138,80
"172.30.40.116","224.0.0.252",5355,135
"172.30.40.116","255.255.255.255",15000,5
"192.168.80.159","172.30.30.191",80,28
"172.30.30.103","172.30.255.255",137,887
"172.30.30.103","172.30.255.255",138,56
"172.30.30.103","224.0.0.252",5355,133
"172.0.2.27","172.30.30.190",3389,561
"172.0.2.27","172.30.20.40",8080,503
"172.30.30.77","172.30.20.100",514,709
"172.30.30.77","172.30.255.255",137,187
"172.30.30.77","172.30.255.255",138,70
"172.0.1.195","172.30.20.40",8080,921
"172.30.30.70","172.30.20.100",514,426
"172.30.30.70","172.30.255.255",137,182
"172.30.30.70","172.30.255.255",138,70
"172.30.30.70","172.30.20.40",8080,53
"172.30.20.77","172.30.20.72",53071,707
"172.20.0.30","172.30.20.40",8080,517
"172.20.0.30","172.30.20.25",38321,6
"172.20.0.30","172.30.20.25",38340,6
"172.20.0.30","172.30.20.25",45455,5
"172.20.0.30","172.30.20.25",8080,166
"10.127.253.6","172.30.30.200",22,46
"10.127.253.6","172.30.30.200",80,502
"172.30.30.87","172.30.255.255",137,405
"172.30.30.87","172.30.255.255",138,60
"172.30.30.87","224.0.0.252",5355,55
"172.0.3.54","172.30.20.40",8080,331
"172.0.3.54","172.30.30.190",3389,147
"169.254.145.29","169.254.255.255",137,308
"169.254.145.29","169.254.255.255",138,150
"169.254.145.29","224.0.0.252",5355,15
"172.0.1.237","172.30.20.40",8080,437
"172.30.30.197","172.30.255.255",137,201
"172.30.30.197","172.30.255.255",138,77
"172.30.30.197","172.30.30.55",879,96
"172.30.30.197","239.255.255.250",1900,17
"172.30.30.197","224.0.0.251",5353,15
"172.30.30.24","172.30.255.255",137,173
"172.30.30.24","172.30.255.255",138,86
"172.30.30.24","224.0.0.252",5355,134
"172.30.30.24","255.255.255.255",15000,5
"172.26.62.21","172.30.30.190",61096,35
"172.26.62.21","172.30.30.190",61227,5
"172.26.62.21","172.30.30.190",61232,5
"172.26.62.21","172.30.30.190",61327,4
"172.26.62.21","172.30.30.190",61530,14
"172.26.62.21","172.30.30.190",61571,28
"172.26.62.21","172.30.30.190",61764,12
"172.26.62.21","172.30.30.190",62056,5
"172.26.62.21","172.30.30.190",62102,16
"172.26.62.21","172.30.30.190",62105,15
"172.26.62.21","172.30.30.190",62120,5
"172.26.62.21","172.30.30.190",62125,58
"172.26.62.21","172.30.30.190",62393,4
"172.26.62.21","172.30.30.190",62398,6
"172.26.62.21","172.30.30.190",62399,5
"172.26.62.21","172.30.30.190",62400,6
"172.26.62.21","172.30.30.190",62403,4
"172.26.62.21","172.30.30.190",62407,4
"172.26.62.21","172.30.30.190",62409,8
"172.26.62.21","172.30.30.190",62415,19
"172.26.62.21","172.30.30.190",62466,5
"172.26.62.21","172.30.30.190",62469,119
"172.30.30.107","172.30.255.255",137,166
"172.30.30.107","172.30.255.255",138,68
"172.30.30.107","224.0.0.252",5355,116
"172.30.30.17","172.30.255.255",137,194
"172.30.30.17","172.30.255.255",138,132
"172.30.30.17","172.30.30.191",138,11
"172.30.30.17","255.255.255.255",15000,8
"172.30.30.17","172.30.30.203",137,5
"172.30.30.178","172.30.255.255",137,132
"172.30.30.178","172.30.255.255",138,78
"172.30.30.178","224.0.0.252",5355,127
"172.30.30.178","255.255.255.255",15000,12
"172.30.30.104","172.30.255.255",137,160
"172.30.30.104","172.30.255.255",138,63
"172.30.30.104","224.0.0.252",5355,119
"172.30.30.57","172.30.255.255",137,135
"172.30.30.57","172.30.255.255",138,71
"172.30.30.57","224.0.0.252",5355,126
"172.30.30.57","255.255.255.255",15000,6
"172.30.30.202","172.30.255.255",137,260
"172.30.30.202","172.30.255.255",138,60
"172.30.30.202","255.255.255.255",15000,12
"172.30.30.39","172.30.255.255",137,116
"172.30.30.39","172.30.255.255",138,85
"172.30.30.39","224.0.0.252",5355,124
"172.30.30.39","255.255.255.255",15000,4
"172.0.3.140","172.30.20.25",8080,326
"172.30.30.102","172.30.255.255",137,125
"172.30.30.102","172.30.255.255",138,62
"172.30.30.102","224.0.0.252",5355,131
"172.30.30.227","172.30.255.255",137,166
"172.30.30.227","172.30.255.255",138,70
"172.30.30.227","172.30.30.195",765,76
"172.30.30.227","172.30.30.55",1014,6
"172.30.30.88","172.30.255.255",137,242
"172.30.30.88","172.30.255.255",138,70
"172.30.30.88","255.255.255.255",15000,6
"172.30.30.119","172.30.255.255",137,112
"172.30.30.119","172.30.255.255",138,76
"172.30.30.119","224.0.0.252",5355,109
"172.30.30.119","255.255.255.255",15000,10
"172.30.30.119","172.30.30.191",1688,9
"172.0.0.235","172.30.30.190",3389,300
"172.0.0.235","172.30.40.115",8443,10
"172.30.30.18","172.30.255.255",137,120
"172.30.30.18","172.30.255.255",138,62
"172.30.30.18","224.0.0.252",5355,121
"172.30.30.18","255.255.255.255",15000,6
"172.30.30.22","172.30.255.255",137,116
"172.30.30.22","172.30.255.255",138,70
"172.30.30.22","224.0.0.252",5355,116
"172.30.30.22","255.255.255.255",15000,4
"172.30.30.23","172.30.255.255",137,111
"172.30.30.23","172.30.255.255",138,60
"172.30.30.23","224.0.0.252",5355,121
"172.30.30.23","255.255.255.255",15000,10
"172.30.20.5","172.30.20.100",514,293
"172.30.30.106","172.30.255.255",137,108
"172.30.30.106","172.30.255.255",138,64
"172.30.30.106","224.0.0.252",5355,117
"172.0.2.59","172.30.30.190",3389,284
"172.30.30.78","224.0.0.252",5355,189
"172.30.30.78","172.30.255.255",137,94
"172.30.30.63","172.30.255.255",137,100
"172.30.30.63","172.30.255.255",138,56
"172.30.30.63","224.0.0.252",5355,118
"172.30.30.63","255.255.255.255",15000,5
"172.30.30.97","172.30.255.255",137,180
"172.30.30.97","172.30.255.255",138,84
"0.0.0.0","255.255.255.255",67,250
"172.30.30.95","255.255.255.255",15000,10
"172.30.30.95","255.255.255.255",1540,120
"172.30.30.95","172.30.255.255",137,18
"172.30.30.95","172.30.255.255",138,80
"172.30.30.95","224.0.0.252",5355,18
"172.30.30.11","172.30.30.160",902,245
"172.30.30.203","172.30.255.255",137,144
"172.30.30.203","172.30.255.255",138,83
"172.30.30.203","255.255.255.255",15000,12
"172.30.30.203","172.30.30.191",137,6
"172.30.30.94","172.30.255.255",137,175
"172.30.30.94","172.30.255.255",138,60
"10.30.0.77","172.30.20.44",22,63
"10.30.0.77","172.30.20.44",4848,161
"172.30.40.111","172.30.40.76",1500,220
"172.30.30.85","224.0.0.252",5355,141
"172.30.30.85","172.30.255.255",137,66
"172.30.30.85","239.255.255.250",1900,4
"172.30.30.66","172.30.255.255",137,88
"172.30.30.66","172.30.255.255",138,77
"172.30.30.66","224.0.0.252",5355,21
"172.30.30.66","255.255.255.255",15000,4
"172.0.2.140","172.30.30.190",3389,188
"10.127.253.21","172.30.40.10",22,20
"10.127.253.21","172.30.40.10",5781,57
"10.127.253.21","172.30.40.10",5783,6
"192.168.51.73","172.30.30.190",3389,180
"172.30.30.177","172.30.255.255",137,58
"172.30.30.177","172.30.255.255",138,83
"172.30.30.177","172.30.30.191",1688,20
"172.30.30.177","224.0.0.252",5355,14
"172.30.30.177","255.255.255.255",15000,4
"172.30.20.152","172.30.20.40",40770,27
"172.30.20.152","172.30.20.40",40792,30
"172.30.20.152","172.30.20.40",40802,30
"172.30.20.152","172.30.20.40",40808,17
"172.30.20.152","172.30.20.40",40810,5
"172.30.20.152","172.30.20.40",41240,24
"172.30.20.152","172.30.20.27",40685,6
"172.30.20.152","172.30.20.27",40831,6
"172.30.20.152","172.30.20.27",44090,4
"172.30.20.152","172.30.20.27",44716,6
"172.30.20.152","172.30.20.27",44830,6
"172.30.20.152","172.30.20.72",22293,5
"172.30.20.152","172.30.20.25",58583,4
"172.0.5.6","172.30.30.190",60651,5
"172.0.5.6","172.30.30.190",61028,5
"172.0.5.6","172.30.30.190",61032,5
"172.0.5.6","172.30.30.190",61069,5
"172.0.5.6","172.30.30.190",61104,5
"172.0.5.6","172.30.30.190",61140,5
"172.0.5.6","172.30.30.190",61197,5
"172.0.5.6","172.30.30.190",61235,5
"172.0.5.6","172.30.30.190",61332,5
"172.0.5.6","172.30.30.190",61338,5
"172.0.5.6","172.30.30.190",61375,5
"172.0.5.6","172.30.30.190",61440,5
"172.0.5.6","172.30.30.190",61534,5
"172.0.5.6","172.30.30.190",61578,5
"172.0.5.6","172.30.30.190",61619,5
"172.0.5.6","172.30.30.190",61648,5
"172.0.5.6","172.30.30.190",61682,5
"172.0.5.6","172.30.30.190",61711,5
"172.0.5.6","172.30.30.190",61768,5
"172.0.5.6","172.30.30.190",61866,5
"172.0.5.6","172.30.30.190",61903,5
"172.0.5.6","172.30.30.190",61973,5
"172.0.5.6","172.30.30.190",62041,5
"172.0.5.6","172.30.30.190",62046,5
"172.0.5.6","172.30.30.190",62159,5
"172.0.5.6","172.30.30.190",62195,5
"172.0.5.6","172.30.30.190",62223,5
"172.0.5.6","172.30.30.190",62254,5
"172.0.5.6","172.30.30.190",62378,4
"172.0.5.6","172.30.30.190",62439,4
"172.0.5.6","172.30.30.190",62473,4
"172.0.5.6","172.30.30.190",62509,4
"172.0.5.6","172.30.30.190",62567,4
"172.0.5.6","172.30.30.190",62649,4
"172.0.5.6","172.30.30.190",62653,4
"172.30.30.26","172.30.255.255",137,32
"172.30.30.26","172.30.255.255",138,129
"172.30.30.26","172.30.30.191",138,5
"10.127.253.20","172.30.30.2",5781,164
"172.0.3.46","172.30.30.190",3389,162
"172.30.30.115","172.30.255.255",137,72
"172.30.30.115","172.30.255.255",138,80
"172.30.30.115","224.0.0.252",5355,4
"172.0.2.122","172.30.30.190",3389,151
"172.30.30.35","172.30.255.255",138,90
"172.30.30.35","172.30.30.191",51201,54
"172.30.30.35","255.255.255.255",15000,6
"172.0.0.62","172.30.50.240",443,73
"172.0.0.62","172.30.30.201",3389,63
"172.0.0.62","172.30.30.191",1688,12
"172.30.30.151","172.30.255.255",137,33
"172.30.30.151","172.30.255.255",138,66
"172.30.30.151","224.0.0.252",5355,33
"172.30.30.151","255.255.255.255",15000,5
"172.0.5.81","172.30.20.100",514,134
"172.30.30.83","172.30.255.255",137,43
"172.30.30.83","172.30.255.255",138,80
"172.30.30.83","224.0.0.252",5355,6
"172.30.30.83","255.255.255.255",15000,4
"172.0.5.85","172.30.20.100",514,126
"172.30.20.144","172.30.20.100",514,126
"172.30.40.103","172.30.20.72",28797,6
"172.30.40.103","172.30.20.72",29140,4
"172.30.40.103","172.30.20.72",29296,6
"172.30.40.103","172.30.20.72",30401,6
"172.30.40.103","172.30.20.72",30402,6
"172.30.40.103","172.30.20.72",30422,5
"172.30.40.103","172.30.20.72",30617,6
"172.30.40.103","172.30.20.72",31975,5
"172.30.40.103","172.30.20.72",31976,5
"172.30.40.103","172.30.20.72",33317,6
"172.30.40.103","172.30.20.72",37893,5
"172.30.40.103","172.30.20.72",39997,5
"172.30.40.103","172.30.20.72",40312,4
"172.30.40.103","172.30.20.72",40517,5
"172.30.40.103","172.30.20.72",40629,4
"172.30.40.103","172.30.20.72",40631,4
"172.30.40.103","172.30.20.72",42276,6
"172.30.40.103","172.30.20.72",42497,5
"172.30.40.103","172.30.20.72",48494,5
"172.30.40.103","172.30.20.72",50487,4
"172.30.40.103","172.30.20.72",54500,4
"172.30.40.103","172.30.20.72",55910,4
"172.30.40.103","172.30.20.72",59107,5
"172.30.30.193","172.30.255.255",137,18
"172.30.30.193","172.30.255.255",138,72
"172.30.30.193","224.0.0.252",5355,18
"172.30.30.193","255.255.255.255",15000,5
"172.30.20.151","172.30.20.40",8080,94
"172.30.20.151","172.30.20.157",723,5
"172.30.20.151","172.30.20.157",782,5
"172.30.20.151","172.30.20.157",954,5
"172.0.1.127","172.30.30.190",3389,103
"172.0.2.100","172.30.30.190",3389,103
"172.30.30.47","172.30.255.255",138,90
"172.30.30.47","255.255.255.255",15000,12
"172.30.30.15","172.30.255.255",137,5
"172.30.30.15","172.30.255.255",138,78
"172.30.30.15","255.255.255.255",15000,12
"172.30.30.15","224.0.0.252",5355,5
"172.30.30.154","172.30.255.255",138,88
"172.30.30.154","172.30.30.191",1688,10
"172.30.30.64","172.30.255.255",137,24
"172.30.30.64","172.30.255.255",138,67
"172.30.30.64","224.0.0.252",5355,6
"172.0.1.93","172.30.20.40",8080,75
"172.0.1.93","172.30.30.190",3389,18
"172.17.77.222","172.30.50.240",8302,75
"172.17.77.222","172.30.40.115",44383,6
"172.17.77.222","172.30.40.115",44384,6
"172.17.77.222","172.30.30.189",55516,6
"172.30.30.155","172.30.255.255",137,4
"172.30.30.155","172.30.255.255",138,84
"172.30.30.155","224.0.0.252",5355,4
"172.0.1.149","172.30.30.190",3389,85
"172.0.1.149","172.30.40.113",1521,4
"172.30.30.46","172.30.255.255",137,9
"172.30.30.46","172.30.255.255",138,74
"172.30.30.46","255.255.255.255",15000,5
"172.30.30.10","172.30.255.255",138,74
"172.30.30.10","255.255.255.255",15000,12
"172.0.2.116","172.30.30.190",3389,85
"172.0.2.51","172.30.30.190",3389,84
"172.0.5.82","172.30.20.100",514,84
"172.0.5.84","172.30.20.100",514,84
"172.30.30.67","172.30.255.255",137,20
"172.30.30.67","172.30.255.255",138,60
"172.30.30.67","255.255.255.255",15000,4
"172.30.30.34","172.30.255.255",138,70
"172.30.30.34","172.30.30.191",137,6
"172.30.30.34","172.30.30.191",138,6
"169.254.162.45","224.0.0.252",5355,71
"169.254.162.45","169.254.255.255",137,5
"172.30.30.117","172.30.255.255",137,6
"172.30.30.117","172.30.255.255",138,69
"172.30.30.117","224.0.0.252",5355,6
"172.30.30.89","172.30.255.255",138,80
"172.30.30.9","172.30.255.255",138,70
"172.30.30.9","255.255.255.255",15000,8
"172.0.5.4","172.30.30.189",55072,6
"172.0.5.4","172.30.30.189",55112,6
"172.0.5.4","172.30.30.189",55147,6
"172.0.5.4","172.30.30.189",55189,6
"172.0.5.4","172.30.30.189",55226,6
"172.0.5.4","172.30.30.189",55260,6
"172.0.5.4","172.30.30.189",55303,6
"172.0.5.4","172.30.30.189",55345,6
"172.0.5.4","172.30.30.189",55388,6
"172.0.5.4","172.30.30.189",55427,6
"172.0.5.4","172.30.30.189",55465,6
"172.0.5.4","172.30.30.189",55538,6
"172.0.5.4","172.30.30.48",65225,5
"172.30.20.16","172.30.20.72",1521,76
"172.0.1.44","172.30.30.190",3389,74
"172.30.30.105","172.30.255.255",137,5
"172.30.30.105","172.30.255.255",138,61
"172.30.30.105","224.0.0.252",5355,6
"172.0.1.77","172.30.30.190",3389,69
"172.0.0.238","172.30.30.190",3389,64
"192.168.86.79","172.30.30.190",3389,64
"172.30.30.111","172.30.255.255",138,63
"172.30.30.143","172.30.255.255",138,59
"172.30.30.48","172.30.255.255",137,42
"172.30.30.48","224.0.0.252",5355,12
"172.30.30.48","255.255.255.255",15000,4
"172.0.5.8","172.30.20.157",12166,6
"172.0.5.8","172.30.20.157",17482,6
"172.0.5.8","172.30.20.157",56554,6
"172.0.5.8","172.30.20.157",58532,4
"172.0.5.8","172.30.30.191",50764,4
"172.0.5.8","172.30.30.191",51023,6
"172.0.5.8","172.30.30.191",51374,6
"172.0.5.8","172.30.20.43",49226,5
"172.0.5.8","172.30.20.43",59675,4
"172.0.5.8","172.30.30.189",57606,5
"172.0.5.8","172.30.30.95",53786,5
"172.0.2.75","172.30.20.157",1521,52
"192.168.61.198","172.30.30.190",3389,52
"172.17.77.211","172.30.30.191",137,17
"172.17.77.211","172.30.30.189",137,14
"172.17.77.211","172.30.30.190",137,12
"172.17.77.211","172.30.30.178",445,4
"172.17.77.211","172.30.30.201",137,4
"172.30.40.104","172.30.20.72",19903,4
"172.30.40.104","172.30.20.72",26930,5
"172.30.40.104","172.30.20.72",32329,4
"172.30.40.104","172.30.20.72",32534,5
"172.30.40.104","172.30.20.72",32646,4
"172.30.40.104","172.30.20.72",37459,6
"172.30.40.104","172.30.20.72",39297,5
"172.30.40.104","172.30.20.72",40177,6
"172.30.40.104","172.30.20.72",41519,6
"172.30.40.104","172.30.20.72",42465,6
"172.0.2.253","172.30.30.15",443,50
"172.0.1.36","172.30.30.190",3389,49
"172.30.30.196","172.30.30.192",33552,4
"172.30.30.196","172.30.30.192",34844,6
"172.30.30.196","172.30.30.192",35988,5
"172.30.30.196","172.30.30.192",43414,5
"172.30.30.196","172.30.30.192",44010,5
"172.30.30.196","172.30.30.192",44579,4
"172.30.30.196","172.30.30.192",45202,4
"172.30.30.196","172.30.30.192",45780,6
"172.30.30.196","172.30.30.192",53400,6
"192.168.52.114","172.30.30.190",3389,42
"10.127.254.3","172.30.20.72",1521,41
"172.0.0.197","172.30.20.157",1521,36
"172.30.30.192","172.30.30.195",5989,31
"172.0.2.1","172.30.30.190",3389,22
"172.0.2.1","172.30.20.27",8080,5
"172.0.2.85","172.30.30.190",3389,25
"192.168.56.96","172.30.30.95",1560,22
"172.0.2.237","172.30.30.190",3389,21
"172.0.1.105","172.30.20.43",8080,20
"172.0.2.103","172.30.30.190",3389,20
"172.22.10.3","172.30.30.191",1688,20
"172.0.1.178","172.30.20.27",8080,14
"172.0.1.178","172.30.30.190",3389,4
"172.0.2.189","172.30.30.190",3389,18
"172.30.20.27","172.30.20.100",514,18
"172.30.30.86","172.30.30.191",1688,18
"172.0.1.133","172.30.20.27",8080,12
"172.0.1.133","172.30.30.190",3389,5
"172.0.2.132","172.30.30.190",3389,16
"172.0.2.224","172.30.30.191",1688,16
"172.30.30.128","224.0.0.251",5353,15
"54.225.208.214","172.30.50.240",43916,4
"54.225.208.214","172.30.50.240",44089,6
"54.225.208.214","172.30.50.240",44662,5
"172.20.0.31","172.30.20.25",37297,5
"172.20.0.31","172.30.20.25",40948,6
"172.30.20.43","172.30.20.40",49970,5
"10.30.0.10","172.30.30.191",1688,10
"172.0.3.88","172.30.30.191",1688,10
"172.0.5.1","172.30.20.35",123,10
"172.30.20.165","172.30.20.157",57763,10
"172.30.40.102","172.30.40.113",1521,10
"172.0.1.240","172.30.20.27",8080,9
"172.30.30.108","172.30.255.255",137,9
"192.168.51.70","172.30.30.191",1688,9
"192.168.75.78","172.30.30.190",3389,9
"172.0.0.63","172.30.30.191",80,8
"172.0.1.177","172.30.20.25",8080,8
"172.0.1.232","172.30.20.15",7003,6
"172.0.2.149","172.30.20.157",1521,6
"172.30.30.157","239.255.255.250",1900,6
"172.30.30.159","239.255.255.250",1900,6
"192.168.51.235","172.30.30.202",80,6
"192.168.61.89","172.30.30.202",80,6
"54.83.195.228","172.30.50.240",45620,6
"172.0.5.37","172.30.20.157",1521,5
