"source.ip: Descending","dest.ip: Descending","dest.port: Descending",Count
"172.30.30.201","94.20.252.167",443,116
"172.30.30.201","94.20.252.187",443,116
"172.30.30.201","94.20.252.168",443,115
"172.30.30.201","94.20.252.177",443,114
"172.30.30.201","94.20.252.152",443,110
"172.30.30.201","94.20.252.45",443,97
"172.30.30.201","94.20.252.49",443,97
"172.30.30.201","172.0.5.18",443,82
"172.30.30.201","172.0.5.18",80,14
"172.30.30.201","94.20.252.20",443,96
"172.30.30.201","94.20.252.39",443,96
"172.30.30.201","94.20.252.55",443,93
"172.30.30.201","94.20.252.54",443,91
"172.30.30.201","94.20.252.35",443,90
"172.30.30.201","94.20.252.40",443,89
"172.30.30.201","94.20.252.50",443,89
"172.30.30.201","94.20.252.59",443,88
"172.30.30.201","94.20.252.29",443,83
"172.30.30.201","94.20.252.25",443,79
"172.30.30.201","94.20.252.30",443,78
"172.30.30.201","94.20.252.34",443,78
"172.30.30.201","94.20.252.44",443,78
"172.30.30.201","94.20.252.24",443,73
"172.30.30.201","62.212.252.44",443,65
"172.30.30.201","62.212.252.20",443,64
"172.30.30.201","62.212.252.55",443,63
"172.30.30.201","62.212.252.59",443,63
"172.30.30.201","62.212.252.24",443,60
"172.30.30.201","62.212.252.25",443,60
"172.30.30.201","62.212.252.29",443,60
"172.30.30.201","62.212.252.35",443,60
"172.30.30.201","62.212.252.49",443,60
"172.30.30.201","62.212.252.54",443,60
"172.30.30.201","172.30.255.255",137,25
"172.30.30.201","172.30.255.255",138,33
"172.30.30.201","172.0.0.62",49219,57
"172.30.30.201","62.212.252.34",443,57
"172.30.30.201","62.212.252.39",443,57
"172.30.30.201","62.212.252.50",443,55
"172.30.30.201","62.212.252.30",443,54
"172.30.30.201","62.212.252.40",443,54
"172.30.30.201","62.212.252.45",443,54
"172.30.30.201","224.0.0.252",5355,53
"172.30.30.201","216.58.207.74",443,32
"172.30.30.201","172.0.5.1",135,9
"172.30.30.201","172.0.5.1",389,9
"172.30.30.201","172.0.5.1",49157,9
"172.30.30.201","216.58.210.78",443,18
"172.30.30.201","93.184.221.200",443,15
"172.30.30.201","172.217.16.170",443,12
"172.30.30.201","172.217.22.106",443,12
"172.30.30.201","172.217.22.14",443,12
"172.30.30.201","172.217.23.170",443,12
"172.30.30.201","216.58.206.10",443,12
"172.30.30.201","216.58.207.42",443,12
"172.30.30.201","216.58.214.42",443,12
"172.30.30.201","172.217.18.170",443,10
"172.30.30.201","172.217.22.74",443,10
"172.30.30.201","172.217.23.138",443,10
"172.30.30.201","172.217.16.173",443,8
"172.30.30.201","172.217.18.10",443,8
"172.30.30.201","172.217.21.234",443,8
"172.30.30.201","216.58.205.234",443,8
"172.30.30.201","216.58.208.42",443,8
"172.30.30.201","216.58.210.10",443,8
"172.30.30.201","216.58.214.106",443,8
"172.30.30.201","172.30.10.1",623,6
"172.30.30.190","172.17.77.220",8027,1065
"172.30.30.190","172.17.77.220",8383,2142
"172.30.30.190","172.0.5.8",123,9
"172.30.30.190","172.0.5.8",389,281
"172.30.30.190","172.0.5.8",53,361
"172.30.30.190","172.0.5.8",88,2375
"172.30.30.190","172.0.5.6",135,463
"172.30.30.190","172.0.5.6",389,870
"172.30.30.190","172.0.5.6",445,297
"172.30.30.190","172.0.5.6",49156,975
"172.30.30.190","224.0.0.252",5355,883
"172.30.30.190","172.0.2.59",40722,777
"172.30.30.190","172.0.3.46",50104,105
"172.30.30.190","172.0.3.46",52284,429
"172.30.30.190","172.30.255.255",137,379
"172.30.30.190","172.30.255.255",138,86
"172.30.30.190","172.0.1.149",50392,112
"172.30.30.190","172.0.1.149",54983,111
"172.30.30.190","172.0.1.149",56706,224
"172.30.30.190","172.26.62.21",2222,146
"172.30.30.190","172.26.62.21",3389,262
"172.30.30.190","172.0.5.4",445,47
"172.30.30.190","172.0.5.4",53,180
"172.30.30.190","172.0.2.122",49579,111
"172.30.30.190","172.0.2.122",53317,227
"172.30.30.190","172.0.2.51",49331,46
"172.30.30.190","172.0.2.51",49828,221
"172.30.30.190","172.0.2.51",51117,26
"172.30.30.190","172.0.0.235",49240,99
"172.30.30.190","172.0.0.235",49378,167
"172.30.30.190","172.0.0.235",49495,5
"172.30.30.190","172.0.1.44",54241,231
"172.30.30.190","172.0.1.44",61062,6
"172.30.30.190","172.0.0.238",50599,203
"172.30.30.190","172.0.2.140",52893,182
"172.30.30.190","192.168.51.73",53499,180
"172.30.30.190","172.30.30.152",445,162
"172.30.30.190","172.0.2.116",50651,102
"172.30.30.190","172.0.2.116",51315,58
"172.30.30.190","172.0.3.54",53439,96
"172.30.30.190","172.0.3.54",54626,41
"172.30.30.190","172.0.5.1",445,134
"172.30.30.190","172.0.1.77",54203,5
"172.30.30.190","172.0.1.77",54286,122
"172.30.30.190","172.0.2.237",59546,121
"172.30.30.190","172.0.1.178",52144,84
"172.30.30.190","172.0.2.1",57651,72
"172.30.30.190","172.17.77.211",13000,65
"172.30.30.190","192.168.86.79",53292,4
"172.30.30.190","192.168.86.79",53295,60
"172.30.30.190","172.30.30.78",1688,54
"172.30.30.190","192.168.61.198",50962,52
"172.30.30.190","172.0.1.127",50627,29
"172.30.30.190","172.0.1.127",51508,10
"172.30.30.190","172.0.1.127",51985,12
"172.30.30.190","172.0.2.100",50804,6
"172.30.30.190","172.0.2.100",53762,6
"172.30.30.190","172.0.2.100",53919,12
"172.30.30.190","172.0.2.100",54994,19
"172.30.30.190","172.0.2.100",55945,6
"172.30.30.190","172.0.30.4",3128,48
"172.30.30.190","192.168.52.114",50193,16
"172.30.30.190","192.168.52.114",50743,4
"172.30.30.190","192.168.52.114",50746,22
"172.30.30.190","172.0.2.27",62973,4
"172.30.30.190","172.0.2.27",63644,11
"172.30.30.190","172.0.2.27",64802,20
"172.30.30.190","172.0.1.36",52318,21
"172.30.30.190","172.0.5.116",445,15
"172.30.30.190","172.0.2.103",52656,12
"172.30.30.190","192.168.75.78",49941,9
"172.30.30.190","172.0.2.189",53080,6
"172.30.30.190","172.0.1.133",52184,5
"172.30.30.190","172.0.1.240",50505,5
"172.30.30.190","255.255.255.255",15000,5
"172.30.30.190","172.0.2.85",55973,4
"172.30.30.190","192.168.96.185",50295,4
"172.30.20.44","172.0.5.8",53,4290
"172.30.20.44","172.30.20.177",123,48
"172.30.20.44","172.30.20.177",389,1433
"172.30.20.44","172.30.20.177",88,1430
"172.30.20.44","172.30.20.165",1521,1728
"172.30.20.44","172.30.30.200",5044,1061
"172.30.20.44","10.127.253.18",2049,832
"172.30.20.44","10.30.0.77",50833,46
"172.30.20.44","10.30.0.77",57786,4
"172.30.30.55","172.30.30.160",60000,6
"172.30.30.55","172.30.30.160",60001,5
"172.30.30.55","172.30.30.160",64330,4
"172.30.30.55","172.30.30.160",902,5285
"172.30.30.55","172.30.30.97",111,27
"172.30.30.55","172.30.30.97",2049,1061
"172.30.30.55","172.30.30.227",111,27
"172.30.30.55","172.30.30.227",2049,1055
"172.30.30.55","172.30.30.197",111,27
"172.30.30.55","172.30.30.197",2049,965
"172.30.30.55","172.30.30.188",58083,6
"172.30.30.55","172.30.30.188",58084,6
"172.30.30.55","172.30.30.188",58085,6
"172.30.30.55","172.30.30.188",59311,20
"172.30.30.55","172.30.30.188",59312,578
"172.30.30.55","172.30.30.188",59313,20
"172.30.30.55","172.30.30.188",60196,6
"172.30.30.55","172.30.30.188",60205,6
"172.30.30.55","172.30.30.188",60211,6
"172.30.30.55","172.30.30.188",60378,6
"172.30.30.55","172.30.30.188",60379,6
"172.30.30.55","172.30.30.188",60380,6
"172.30.30.55","172.30.30.188",60398,18
"172.30.30.55","172.30.30.188",60408,6
"172.30.30.55","172.30.30.188",60548,6
"172.30.30.55","172.30.30.188",60550,6
"172.30.30.55","172.30.30.188",61742,5
"172.30.30.55","172.30.30.188",61743,5
"172.30.30.55","172.30.30.188",61744,5
"172.30.30.55","172.30.30.188",62941,5
"172.30.30.55","172.30.30.188",62942,5
"172.30.30.55","172.30.30.188",62943,5
"172.30.30.55","172.0.30.51",123,46
"172.30.30.55","10.30.0.55",62491,17
"172.30.20.40","172.30.20.152",1521,2315
"172.30.20.40","192.168.93.105",55044,8
"172.30.20.40","192.168.93.105",55058,3
"172.30.20.40","192.168.93.105",55065,5
"172.30.20.40","192.168.93.105",55067,11
"172.30.20.40","192.168.93.105",55077,16
"172.30.20.40","192.168.93.105",55099,29
"172.30.20.40","192.168.93.105",55100,11
"172.30.20.40","192.168.93.105",55101,11
"172.30.20.40","192.168.93.105",55102,11
"172.30.20.40","192.168.93.105",55104,11
